id,Sentence,Sentiment
714,finnair s tallinnbased subsidiary aero as carried 23335 passengers a decline of 608 on routes between helsinki and the baltic capitals and within southern finland,negative
715,finnish suominen corporation that makes wipes nonwovens and flexible packaging expects changes in the market situation to reduce sales of suominen s nonwovens and wet wipes from the previously estimated volumes,negative
716,austin texas sept 6 texas department of transportation awards contract for teleste video compression and distribution equipment,positive
717,of these shares 29659239 are held by the company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322705218,neutral
718,tesco abandons videostreaming ambitions in blinkbox sale,negative
719,3 january 2011 scandinavian lenders sampo bank hel samas pohjola bank hel poh1s and svenska handelsbanken sto shb a have provided a eur160m usd213m line of credit to lemminkainen oyj hel lem1s the finnish construction firm said on friday,neutral
720,also construction expenses have gone up in russia,negative
721,in its financial report published on friday seb said its net profit soared to sek6 745 bn in 2010 from a yearearlier sek1 114 bn and proposed a 50 dividend increase to sek1 50 per share,positive
722,addus services include personal care and assistance with activities of daily living skilled nursing and rehabilitative therapies and adult day care,neutral
723,the first charging stations will be made available already in 2008 and a whole network is to be ready in 2010,neutral
724,tsla recalls 2700 model x cars stock dropping hard,negative
725,operating profit totalled eur 90 mn down from eur 97 mn in the first half of 2008,negative
726,diluted earnings per share eps fell to eur 063 from eur 171,negative
727,the 718430 new series a shares will become subject to trading on the helsinki stock exchange s main list together with the old series a shares on july 3 2006,neutral
728,this combined with foreign investments creates interesting opportunities for solteq,positive
729,the company operates its business through two reportable segments including banking and investment services and nonlife insurance,neutral
730,the seminar introduced modern clean technologies and products financial tools and sponsorship programs for energy and environment projects as well as the potential to develop clean energy in vietnam,positive
731,through the nordic exchange omx offers access to approximately 80 percent of the nordic and baltic securities market,neutral
732,tieto s service is also used to send process and receive materials related to absentee voting,neutral
733,rnn more bleeding monday,negative
734,kai tulonen chief technology officer sysopen digia says we have been using corporate phonebook inside sysopen digia extensively since last fall and we have been very satisfied with the results,positive
735,strong growth has continued also in china,positive
736,a data processing unit collects the data calculates rvr values and provides the data to users via various interfaces,neutral
737,in the first quarter of 2010 the marktomarket result was a pretax profit of eur 133 million versus a loss of eur 32 million in the same period last year,positive
738,operating loss totalled eur 127 mn compared to a profit of eur 177 mn in the first half of 2008,negative
739,according to mreal s ceo mikko helander this transaction will enable the company to proceed swiftly with its restructuring program,positive
740,it comes complete with an lcd touch screen system for selection of your chosen function and prices start at around the pounds 4805 mark,neutral
741,in q1 of 2009 the company s result before taxes from continuing operations excluding nonrecurring items totalled eur 04 mn compared to eur 01 mn in the corresponding period in 2008,negative
742,update 1cypress semiconductor offers to buy integrated silicon solution,positive
743,cndo 21 short float shorts likely to take profits into close,negative
744,finnish insurance company fennia and kesko group are ending their loyal customer cooperation,neutral
745,on top of that the us commerce department published worsethanexpected construction spending figures for november,negative
746,pretax loss totaled eur 03 mn compared to a loss of eur 22 mn in the first quarter of 2005,positive
747,under the agreement larox will transfer 10 employees within engineering and documentation related to delivery projects and product maintenance in finland to etteplan as of january 1 2007,neutral
748,buffetts berkshire builds deere stake dumps exxon,positive
749,sbux getting sold here,negative
750,we have the most expensive water brand in finland at the moment,neutral
751,miners meltdown as bhp to rio tinto sink in commodities rout,negative
752,update 1dairy crest loses a third of morrisons milk contract,negative
753,maggie ramsey s wait and those of thousands of oregon and washington guides anglers and others who flock to his frequent seminars is nearly over,neutral
754,pretax loss totalled eur 1623 mn compared to a profit of eur 2535 mn in 2007,negative
755,intuitive surgical isrg is in a great financial position take a look httpstcovahhjacbfg httpstco24hqtqx4ou,positive
756,a meeting of glisten shareholders to vote on the bid will be held on 12 march,neutral
757,us sanctions put gazpromshell alliance plans in jeopardy,negative
758,igrid shows dia capped for the long term at range of 12340 12477any rally beyond todays levels or into this range leads to meltdown,negative
759,the biggest sellers in the chain s supermarkets in finland are organic pirkka tomatoes carrots eggs and meat products,neutral
760,aria bounce player long above 617 httpstkscoq0wff,positive
761,energy still failing to close above the 10d ma continues to stand out weak xle,negative
762,kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on jan 21 and the saltonstall state office building on jan 23,negative
763,lnt increases annual dividend target to 180share from 170share,positive
764,you re not alone,neutral
765,based on the first quarter result existing order backlog and new order prospects the company expects that fullyear sales will contract by 25 from 2008 the gross margin will stay at a healthy level and the operating profit margin will be lower than in 2008 due to lower sales volume,negative
766,dji overbought aapl axp ba cvx ibm intc vz httpstcowmy1pnomjf,negative
767,like all other mechanical pipettors from biohit also proline plus is ceivd marked and comes with a 3year warranty,neutral
768,the acquisition of landsbanken sverige in 2009 burdened the performance with eur 30 mn,negative
769,elisa has commissioned finland s poyry telecom oy to conduct a study of reception in some of estonia s largest cities besides tallinn,neutral
770,after the transaction alma media raised its stake in talentum to 3065 of the shares and some 3112 of voting rights,positive
771,finnish office supplies and computer accessories dealer belttongroup plc said its net profit rose to 13 mln euro 17 mln in 2006 from 113 mln euro 15 mln in 2005,positive
772,finnish technology company raute corporation omx helsinki rutav issued on tuesday 23 september a profit warning for the financial year 2008,negative
773,its market share widened to 4851 percent from 4831 percent a year earlier,positive
774,poyry is a global consulting and engineering firm focusing on the energy forest industry and infrastructure environment sectors,neutral
775,mylan appoints ranjan ray chaudhuri as global commercial lead for mylans over,neutral
776,and when it has lifted the veil on the various types of customer for which it designs its phones the result is social stereotyping taken to a fine art,neutral
777,rory fitzgerald general manager operations bristol port said with the use of low maintenance technology we can save up to 30 per cent on servicing plus the load sensing hydraulics can save us an extra 15 to 30 per cent on fuel consumption,positive
778,ruukki s delivery includes steel structures including installation for krakeroy bascule bridge and steel piles for the bridge foundations,neutral
779,i can say categorically no wahlroos was quoted as saying by the paper when asked about sampo s interest in making a bid for rsa,neutral
780,finland s neste oil has been awarded the chemical industry federation of finland s innovation award for its nexbtl technology which enables biodiesel to be produced from vegetable oil and animal fat,positive
781,sales have risen in other export markets,positive
782,the new majority owners of aspocomp thailand co ltd are certain private persons belonging to immediate circle of aspocomp s present joint venture partner saha pathana interholding plc,neutral
783,dnkn kkd dpz loco inside week buy triggers httpstkscoh0vv8 httpstkscor0ebn,positive
784,27 january 2011 finnish it solutions provider affecto oyj hel afe1v said today it has won a eur1 2 m usd1 6 m contract from stateowned lithuanian social insurance institution sodra,positive
785,nokia will continue to invest in future development of qt for the benefit of all users both commercial and lgpl,positive
786,lember said the matter was topical also in estonia where a bill has been drafted at the social affairs ministry that would scrap oldage pensions on favorable conditions,neutral
787,as a result 12 people will be made redundant and a total of 67 persons are laid off temporarily,negative
788,the company s previous estimate was for a lower revenue than the yearago eur 939 million,negative
789,pkt momentum building for breakout trigger long setup httpstkscoexvu,positive
790,britains ftse steadies supported by dixons carphone,positive
791,finnish suominen corporation that specialises in wet wipes nonwovens and flexible packaging reports net sales of eur 441 mn in the second quarter of 2010 up from eur 433 mn in the second quarter of 2009,positive
792,rapala vmc corporation stock exchange release october 10 2008 at 1145 am kaupthing bank oyj kapthing has informed rapala vmc corporation rapala that it has interrupted the liquidity providing for rapala s share for the time being,negative
793,the six breweries recorded a 52 percent growth in domestic beer sales last year to 27021 million liters from 25688 million liters sold in 2005,positive
794,one of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard company said in a statement received by lesprom network,neutral
795,however the company saw its net profit for the third quarter down to eur 14 million from eur 15 million for the corresponding period of 2009,neutral
796,78 users on vetr are bearish on tesla motors inc indicating a sell rating 2 stars for tsla httpstcovvpzqcxsnj,negative
797,the project will be a 2 x 600 mw coalfired power plant located some 420 km south of hanoi the company said,neutral
798,unlisted british biologicals makes b and d proteins and other diseasespecific supplements that cover diabetes hepatitis asthma and other cardiovascular ailments,neutral
799,cash flow from operations for the most recent quarter also reached a eight year low,negative
800,back then tikkurila s former owner finnish chemicals company kemira oyj hel kra1v distributed an 86 stake to kemira shareholders to facilitate the divestment and listing of tikkurila,neutral
801,they will be sunk to a depth of some 360380 metres and fixed to the bottom mud by vacuum,neutral
802,the second variant offers complete final finishing of any selected apartment with foreign high quality materials finland denmark germany france,neutral
803,sales at the tiimari business went down by 8 to eur 118 million while gallerix stores saw 29 growth to eur 2 million,negative
804,net cash from operating activities was a negative eur 03 mn compared to eur 309 mn in 2009,negative
805,capacity will ease at its seikku sawmill in pori and alholma sawmill in pietarsaari and result in 60 people being laid off for around six weeks starting midmay it said,negative
806,british american tobacco drops and sues pwc over pollution scandal,negative
807,london stock exchange shareholders approve merger with deutsche brse,positive
808,traceyryniec not just energy its so broad you will see it in wwg and kaman as well id be short fast,negative
809,nflx 1 10480 long streaming services rapidly outpacing traditional cable,positive
810,eps dropped to eur0 2 from eur0 3,negative
811,morrisons book second consecutive quarter of sales growth,positive
812,astrazeneca and daiichi sankyo to jointly commercialise movantik in the us,positive
813,fortum also has a blocking stake in northwestern tgk1,neutral
814,european traffic grew nearly 30,positive
815,mr mika korpinen apac vice president for comptel concludes comptel is once again demonstrating the importance of providing reliable delivery and enabling timetomarket,neutral
816,operating profits in the half were 08 m down from 09 m as glisten invested in the brand and the management team,negative
817,the group intends to relocate warehouse and office space in loudeac and saint marcel to morvillars in the east of the country where it already operates a hook manufacturing and distribution unit,neutral
818,standard chartered shifts emergingmarkets strategy after losses,negative
819,supreme court upholds 236 million jury award against exxonmobil,negative
820,ice said to start lining up financing for lse bidding war,positive
821,for vnoto74 to follow after a sell signal by ndx internals 0623 technical sell qqq 0625 down,negative
822,genvec is a biopharmaceutical company developing novel therapeutic drugs and vaccines,neutral
823,simultaneously his responsibility area is extended from legal affairs to cover also mergers and acquisitions,neutral
824,the offer of some 30 million shares aimed to raise more than x20ac 500 million us 640 million was expected to be completed by oct 9 outokumpu said,neutral
825,standard chartered lags on capital worries,negative
826,starbucks shares down as much as 42 sbux httpstcojlgrprr54k,negative
827,cargotec corporation press release april 28 2008 at 200 pm finnish time cargotec s macgregor business area providing marine cargo handling and offshore load handling solutions has received significant hatch cover orders for bulk carriers,positive
828,there s the issue of thieves stealing them from building sites said mr smith,negative
829,the company s board of directors will propose a dividend of eur 095 per share for 2008 at the annual general meeting scheduled to be held on march 23 2009,neutral
830,tsla recall,negative
831,according to the company its operating profit excluding nonrecurring items in the fourth quarter of 2009 was significantly better than expected and also better than the figures for the fourth quarter of 2008,positive
832,the mill has long traditions and holds an established position in the markets,positive
833,amzn going thru the roof needs a sell,positive
834,adpnews aug 3 2009 finnish media group ilkkayhtyma oyj hel ilk2s said today its net profit fell 45 on the year to eur 59 million usd 84 m in the first half of 2009,negative
835,we know that it exists artemyev said,neutral
836,primark racks up a happy christmas after strong sales,positive
837,tsla recalls 2700 model x vehicles shares volatile httpstcotckqznmiqx tsla tech stockmarket httpstcofemhjtamqj,negative
838,the upgrade is intended to raise the network capacity from 450 mhz to 630 mhz in several cities enabling bidirectional services for digital television as well as broadband data,positive
839,the earnings per share for the quarter came in at 025 eur up from the 020 eur of the same quarter a year earlier,positive
840,10 february 2011 finnish media company sanoma oyj hel saa1v said yesterday its 2010 net profit almost tripled to eur297 3 m from eur107 1 m for 2009 and announced a proposal for a raised payout,positive
841,in the end of 2006 the number of outlets will rise to 6070,positive
842,operating profit decreased to nearly eur 17 mn however,negative
843,gld httpstkscojr8 daily chart though rsi and stoch point at a possible move up theres a lot of resistance,positive
844,the total need for staff cuts corresponds to about 300 manyears,negative
845,finnish forest machinery manufacturer ponsse has issued a profit warning,negative
846,what is up with hk from jan to now its been a sinking ship,negative
847,national conciliator juhani salonius who met both parties on wednesday said they were too far apart in their views for him to propose mediation,negative
848,according to the finnishrussian chamber of commerce all the major construction companies of finland are operating in russia,neutral
849,in julyseptember 2009 konecranes sales decreased to eur 3687 mn from eur 5204 mn in julyseptember 2008,negative
850,in china finnish kone that provides elevators escalators and solutions for modernisation and maintenance will build 342 escalators that will be installed in a highspeed railway section between beijing and shanghai in a 15 years time,positive
851,sbux downgraded to neutral at deutsche bank price target reduced to 64 from 70,negative
852,it will focus on improving its profitability next year by streamlining operations,positive
853,a few months ago teva vice chairman phillip frost and marathon venture capital fund tase mara sold protalix shares,neutral
854,dealers said the share was largely hit by investor disappointment about a refining margin of just 948 usd per barrel for the quarter and the performance of its shipping unit which saw ebit drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates,negative
855,the maritime administration said the ships had ignored warnings about the icy conditions,neutral
856,us debt lures schroders as ecb depresses rates,neutral
857,the tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind,neutral
858,update 1astrazeneca sells rare cancer drug to sanofi for up to 300 mln,positive
859,he answers questions on how many visitors conversations gets how big the team is and what the problems are when setting up social media channels,neutral
860,m2 communications disclaims all liability for information provided within information on on the world wide web,neutral
861,pretax profit decreased to eur 338 mn from eur 408 mn in the fourth quarter of 2005,neutral
862,update 1eu regulator backs approval for gsk injectable asthma drug,positive
863,in addition to russia we now seek additional growth in ukraine,positive
864,danske bank as danske dc jumped 37 percent to 1334 kroner rebounding from yesterday s 35 percent slide,positive
865,the dividend will come on top of the 045 eur on a shares and 043 on k shares it has already paid on last year s accounts,neutral
866,neste oil is working with over 20 research communities in europe america africa asia and australia to develop and introduce new raw materials,positive
867,is trouble brewing at legal general group plc and aviva plc,negative
868,17 march 2011 goldman sachs estimates that there are negative prospects for the norwegian mobile operations of norway s telenor asa osl tel and sweden s teliasonera ab sto tlsn in the short term,negative
869,the refining margin for the year was 1339 bbl compared to 1046 bbl in the prior year,positive
870,it will combine and renew the contents and functionality of the current systems for funding and online service as well as their maintenance,positive
871,our extensive cooperation will also bolster sysopen digia s position in the domestic operator market kallioranta adds,positive
872,the order also covers design services hardware software licences as well as maintenance services over six years,neutral
873,the recent troubles simply make neteller cheaper,negative
874,based in helsinki finland ramirent has branches in 13 nordic central and eastern european countries,neutral
875,the insolvency act regulates the amount of debt that borrowers are permitted to write off,neutral
876,can christmas save sainsburys plc and tesco plc,negative
877,rnn day traders flushed out it should start going up slowly from now on,positive
878,according to its notice skandinaviska enskilda banken ab publ helsinki branch has on 10 august 2009 divested in total 11958000 alma media shares to ilkkayhtyma oyj and kaleva kustannus oy as the conditions of the agreement made by the companies on 1 july 2009 fulfilled,neutral
879,one of the installed elevators will be a doubledeck elevator which enables more efficient use of the building s core space,positive
880,homebuilders ryl breaking below support watch this one spy,negative
881,operating profit improved by 440 to er 47 mn from eur 33 mn in 2004,positive
882,ramirent finland is the domestic unit of machinery rental company ramirent oyj hel rmr1v,neutral
883,ahlstrom s share is quoted on the nasdaq omx helsinki,neutral
884,the shopping center to be opened in st petersburg russia in november 2010 will turn the cash flow of finnish department store chain stockmann s russian operations positive for the first time in 2011,positive
885,teleste and sentry 360 have formed an integration partnership between sentry s advanced 360degree immersive camera product line and teleste s enterprise video management systems,positive
886,shell and bg shareholders to vote on deal at end of january,neutral
887,international operations accounted for over 80 of net sales,neutral
888,fb slight green may be runner later,positive
889,phew so far good bbry did not break 1040 coz i was told that is key support level,positive
890,eurusd finding support near 110 level ero uup udn fxe httpstkscob29eu,positive
891,in providing managed services nokia takes responsibility for building operating and transferring as well as optimising the indosat 3g network,neutral
892,the repo rate will gradually reach 2 at the end of 2010 according to nordea s economic outlook,neutral
893,eps for the quarter was eur0 00 as compared with eur0 01 in the third quarter of 2008 representing a group net sales for the third quarter were eur15 3 m up by 28 as compared with eur14 9 m in the third quarter of 2008,positive
894,the parties have also agreed on options that allow uh to extensively implement later on also functionalities of human resources management,positive
895,operating profit was eur 16 mn in 2005 compared to eur 59 mn in 2004,negative
896,the third order awarded to outokumpu technology is by shalkiya zinc of kazakhstan for the shalkiya zinclead project in kazakhstan,positive
897,ebay ebay bay working on a couple daily dojis should continue to the downside httpstcolgu0ybxeze,negative
898,i am not optimistic about amzn both fundementals and charts look like poopoo this quarter,negative
899,qcom the indicator rsi is over 50 which stands at 561 an upward movement is expected httpstcoyfa9jcusqa,positive
900,the bank s leasing arm nordea liising ended the year with a profit of 44 million euros,neutral
901,the total capital of funds managed by the bank decreased by 28 to eur 284mn by the end of september 2008,neutral
902,this is the first time finnair has been awarded an agreement with the uk government,positive
903,lloyds to cut 945 jobs as part of threeyear restructuring strategy,negative
904,the share capital of alma media corporation business id 19447574 is eur 4476751380 and it is divided into 74612523 shares,neutral
905,mr koistinen joins from nokia siemens networks where he has held various senior sales management and business development positions since 1997,neutral
906,the workforce will be reduced also in the amsterdam office in the netherlands,negative
907,biohit said that it will reduce the number of leased personnel by 10 and lay off 10 of its own personnel,negative
908,production capacity will rise gradually from 170000 tonnes to 215000 tonnes,positive
909,esi on lows down 150 to 250 bk a real possibility,negative
910,alert new macd signal created on ctxs buy at 7709 time 1823 strength 10 powered by httpstco4tdgjedllz,positive
911,aapl im sure those short are holding their breath hoping for a miracle lol,positive
912,isrg trading at alltime high after strong earnings report with 4 days of short interest,positive
913,isolationism another sell rating sell ratings on spy qqq iwm and several companies httpstcoj35fnnx744 aapl apple axp bac,negative
914,operating profit rose to eur2 4 m from eur1 6 m year earlier,positive
915,it s even a little bit higher than yara s multiples on itself an analyst in helsinki said,neutral
916,amrn full bull call spread ranging july to jan 15 lets see what this baby does,positive
917,it is a disappointment to see the plan folded,negative
918,construction volumes meanwhile grow at a rate of 1015 percent annually,positive
919,timberrrr tsla httpstcomrbgfdhhva,negative
920,espn files lawsuit against verizon httpstkscoi2cj1 vz,negative
921,operating profit fell from eur 79 mn in the second quarter of 2005 to eur 51 mn in the second quarter of 2006,negative
922,known as post bank the concept would see fidelity bank rolling out 75 offices in ghana post premises to provide financial services to the people,positive
923,the second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 said magnus rosen ramirent ceo,positive
924,rost nov 90 calls 208 go long until exp imo unless europeans keeps fing around,positive
925,30 november 2009 finnish office furniture maker martela oyj hel maras said today that it will make redundant three people and other nine will be laid off permanently from the company s office staff and factory workers,negative
926,london morning briefing hsbc and standard chartered shares rise,positive
927,acinvestorblog spy eod run,positive
928,bbry both 1m6m trends turn bullish today with a resistance level at 1131 httpstkscoj1qt6,positive
929,astrazeneca wins fda approval for key new lung cancer pill,positive
930,proline plus is available in both adjustable single and multichannel models and fixed volume singlechannel models in volume ranges from 01 micro litres to 10 ml,neutral
931,yit s baltic sales in the first three quarters of 2008 totaled 1062 million euros representing a drop of 29 percent year on year,negative
932,the company has established a 3g base station at about 17000 feet at the foot of mount everest that will enable mountain climbers at the 29035foot summit to surf the internet and even send videos of their exploits,positive
933,brazilian mobile player telemig celular yesterday announced that it has selected finnish software developer tecnomen oyj to expand its prepaid billing system,positive
934,revenue for the quarter totaled 274 billion down 2 percent from 281 billion in the fourth quarter in 2008,negative
935,comparable net sales are expected to increase more than 10 in 2008 in line with group target,positive
936,finnish silicon wafer technology company okmetic oyj omx helsinki okm1v reported on thursday 30 october an operating profit of eur7 4 m for januaryseptember 2008 up from eur6 1 m in the corresponding period in 2007,positive
937,our key geographical markets are europe russian federation middleeast southafrica and japan,neutral
938,nyse owner ice considers offer for lse,positive
939,these tests are part of a larger campaign which includes various customer trials and demonstrations to make lte on 800 mhz commercially viable by this summer nokia siemens head of lte business line reino tammela said,neutral
940,the closing of such transaction took place today,neutral
941,old mutual firstquarter sales up 18 buoyed by emerging markets,positive
942,metrics in qpr scorecard now support date text and milestonebased values which improve its support for managing projects around performance or processrelated content,positive
943,operating profit rose to eur 16 mn from eur 11 mn in the corresponding period in 2006,positive
944,26 november 2010 finnish sportsequipment maker amer sports oyj hel ameas said today it has obtained a eur30m schuldschein note loan from a pool of international investors,neutral
945,2 turnaround buys for 2016 bhp billiton plc and home retail group plc,positive
946,operating loss totalled eur 09 mn down from a profit of eur 27 mn,negative
947,orion s net profit for the third quarter of 2007 decreased to 365 mln euro 521 mln from 403 mln euro 575 mln a year earlier,negative
948,tsla recalling pretty much every single model x cnnbrk got to short that even at work you jump in money trade,negative
949,the airline has ordered nine airbus a350900 aircraft with deliveries from 2011 and in doing so becomes the lead airline for the latest variant of rollsroyce trent series engines called the 1700,positive
950,bbry nice bounce,positive
951,operating profit excluding nonrecurring items increased by 27 to eur 819 mn from eur 644 mn in the corresponding period in 2008,positive
952,the study evaluated the safety tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis,neutral
953,of course we are in talks with all those coming up with new projects that involve material handling konecranes president and ceo pekka lundmark said when asked whether it was talking to reliance industries for supplying equipment to its upcoming refinery in jamnagar,neutral
954,the mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line,neutral
955,activities range from the development of natural resources to the retailed marketing of finished products,neutral
956,in the third quarter of 2007 net sales totaled eur 2595 mn and operating profit eur 388 mn,neutral
957,the latest date for registration is on 4 april 2006,neutral
958,the order consists of capacity expansion maintenance services and new charging functionality the company said,neutral
959,altia s operating profit jumped to eur 47 million from eur 66 million,positive
960,the financial details of the transaction were not disclosed,neutral
961,the company now estimates its net sales in 2010 to increase considerably from 2009 and its operating result to be clearly positive,positive
962,loading spy and aapl puts think were toppy imho,negative
963,oriolakd expects its invoicing in 2008 to be higher than the comparable invoicing of 2007,positive
964,the company said that its comparable operating profit for the januaryjune period fell short of last year s corresponding performance,negative
965,sevenmonth sales of ragutis which is controlled by the finnish brewery olvi declined by 112 percent to 1541 million liters and the company held 989 percent of the market,negative
966,neste oil corp has signed longterm procurement contracts with honkajoki oy and findest protein oy both owned by finnish food manufacturers for the supply of animal fat for biodiesel production at neste s 200000 bcd porvoo finland refinery,positive
967,the company serves approximately 3000 customers in over 100 countries,neutral
968,the company designs manufactures and markets advanced composite products for industrial applications and consumer goods such as crosscountry alpine and nordic walking poles floorball sticks and antenna radomes,neutral
969,equity indexes working on a positive engulfing for march sml rut iwc smh sox smallcaps semis with a fakeout before the bout,positive
970,at 1259 pm the omx helsinki 25 index was 032 pct lower at 269481,negative
971,after the sale savcor group ltd will comprise savcor art a corporate function and an investment in cencorp corporation,neutral
972,lemiste city is the environment for a knowledgebased economy providing work for 3300 people with the total turnover of its companies amounting to eek 54 bn said lo prnits chairman of the supervisory board of lemiste city and mainor,neutral
973,sainsbury sales slip again as price pressures take a toll,negative
974,standard chartereds shares plunge 7 after fitch downgrade,negative
975,gld httpstksco44ow on closer inspection resistance 10 points north at 200d and downward trendline chart 2 of 2,negative
976,there will be return flights from stuttgart every morning as well as evening departures on thursdays fridays and sundays,neutral
977,ftse 100 drops 25 pct on glencore metals price fears,negative
978,stx long play another consistent profit zone check it out httpstcodqfuzozylh httpstcoggne4ayzqn,positive
979,why mcd looks set to fall further httpstkscof2fgj,negative
980,the ground barleycorn has been fully produced in finland and will be available in stores as of the beginning of 2010,neutral
981,the product advisory does not apply to any other nokiabranded battery the company said,neutral
982,finnish electrical components maker salcomp oyj hel sal1v announced today the launch of its latest twist charger platform,neutral
983,antti orkola president of kemira growhow s industrial solutions unit told thomson financial news the company has put off opening the mine as prices of phosphate have been quite depressed for a long time,negative
984,operating profit decreased to eur 112 mn from eur 166 mn,negative
985,from business line may 16 2008 sriperumbudur may 15 nokia s two key suppliers aspocomp and wintek are likely to start operations within three months in the nokia telecom park at sriperumbudur 45 km west off chennai,neutral
986,nevertheless the development can not be allowed to ruin the print newspaper which continues to be sanoma news main medium,neutral
987,in the reporting period the company s operating profit grew by 432 to eur 6 million,positive
988,mpwr ceo sells 450k april 15thmeh,negative
989,finnlines said that the deal is part of its strategy to focus on its core businesses,neutral
990,operating result for the 12month period decreased from the profit of eur0 4 m while turnover decreased from eur5 6 m as compared to 2004,negative
991,kalmar espana generated net sales of some 113 mln euro 148 mln in 2005,neutral
992,marimekko has today 20 november signed a license agreement with the swedish chain whereby marimekko will license some of its popular patterns from the 1950s 1960s and 1970s to hm,positive
993,okmetic s silicon wafers are part of a further processing chain that produces end products that improve human interaction and quality of life,neutral
994,commission income fell to eur 46 mn from eur 51 mn in the corresponding period in 2007,negative
995,adp news feb 25 2009 finnish printed circuit board pcb maker aspocomp group oyj hel acg1v said today it swung to a net profit of eur 300000 usd 385000 for 2008 versus a net loss of eur 653 million,positive
996,nordic business report17 january 2006efore plc inaugurates new plant in estonia 19982006 m2 communications ltd finnish power electronics manufacturer efore plc said on tuesday 17 january that it was inaugurating its new plant in parnu estonia,neutral
997,net sales fell by 33 from the third quarter of 2008 to eur 1305 mn,negative
998,nugt gold above 1400wow,positive
999,the company expects its net sales for the whole 2009 to remain below the 2008 level,negative
1000,hlf shorts made a killing last couple days might make more if cover and buy back,negative
1001,the 3c expo is a signature show in dongguan which is supported by the dongguan municipal government every year featuring computer accessories software communication and network products,neutral
1002,low energy consumption and flexible loading are just a few of the advantages of the chf pro,neutral
1003,i warmly welcome michael frei to outotec,positive
1004,capman an asset manager has eur 3bn worth of assets under management in the nordic region,neutral
1005,australia clears ab inbevs 100 billion sabmiller buyout plan,positive
1006,profit before taxes was eur 40 mn down from eur 49 mn,negative
1007,petrofac share price rises despite 30m costs on north sea project,neutral
1008,net sales in 2007 are expected to be 10 up on 2006,positive
1009,lassila tikanoja s operating profit excluding nonrecurring and imputed items for the second quarter was eur11 3 m down from eur13 8 m a year ago,negative
1010,breakingviews iag can pay more for aer lingus,positive
1011,the business area has operations in finland sweden denmark estonia latvia and lithuania,neutral
1012,france raises concerns over proposed lsedeutsche boerse deal,negative
1013,the company aims to maintain this trend in profitability during the current year,positive
1014,hyg potential continuation uptrend on a 60154 charts httpstkscot1qp6,positive
1015,finnish shipping company finnlines of the grimaldi group reports its net sales decreased to eur 2418 mn in januaryjune 2009 from eur 3840 mn in the corresponding period in 2008,neutral
1016,the manufacture of cpps will be undertaken at the existing export oriented unit eou at wartsila s factory at khopoli near mumbai,neutral
1017,he wore a black beanietype cap and a black jacket,neutral
1018,the group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally,neutral
1019,finnish waste management and cleaning group lassila tikanoja oyj lt net profit went down to 322 mln euro 477 mln for 2007 from 353 mln euro 523 mln for 2006,negative
1020,under the transaction agreement metsaliitto will purchase 247 of metsabotnia s shares from upm and 3 from mreal,neutral
1021,royal mail breached competition law over delivery service changes ofcom claims,negative
1022,altogether finnair has canceled over 500 flights because of the strike,negative
1023,viking line has canceled some services,negative
1024,jussi pesonen member of the sampo board since 2006 will renounce his seat in sampo board,neutral
1025,stx finland oy signed a a preliminary agreement for the building of an environmentally friendly new generation cruise ferry for viking line to manage on between turku finland and stockholm sweden withviking line abp,positive
1026,the stock was hit by the profit warning of finnish rival rautaruukki oyj omx rtrks,negative
1027,warren buffett defends berkshire hathaways conglomerate structure,positive
1028,the production is to be liquidated before june 2009 and 325 employees loose their jobs,negative
1029,shares of nokia corp rose thursday after the cell phone maker said its thirdquarter earnings almost doubled and its share of the global handset market increased,positive
1030,philip morris bat sue over law taking branding off packs,negative
1031,frost sold shares for 19 million at 6067 12 per share compared with friday s high of 1133 and low of 1014,negative
1032,iff technical alerts stochastic sell signal 200 dma support and 50 dma support httpstkscop12qy,negative
1033,in sweden operating profit for the period under review totaled eur 34 mn up 308 from the corresponding period in 2005,positive
1034,operating profit excluding nonrecurring items totalled eur 10 mn down from eur 16 mn,negative
1035,in contrast the company s net loss for the third quarter of 2009 contracted to eur 76 million from eur 256 million for the corresponding period a year ago,positive
1036,at 1411 cet arcelormittal had lost 726 to eur 1738 on euronext paris coming at the lead of the bluechip fallers,neutral
1037,radiation and today is a full service house expert in radiation and nuclear safety issues,neutral
1038,tsla recall model x httpstcob7izya4bue,negative
1039,market report aviva tops the market as traders approve of its choice of friends,positive
1040,barclays share price subdued as bank faces fresh forex probe,negative
1041,in the beginning of this year wartsila had secured an order to deliver four gasfuelled main engines and propulsion machinery for the same vessel,positive
1042,tesco share price closes higher as two more directors leave grocer,positive
1043,these include software development for internet and mobile telephone content communications valueadded software financial services security applications systems integration and electronics ebrd informed,neutral
1044,small investors have voiced fears that the shares will end up with risk investors,negative
